gender	name	modern_2006_2025_core	basis	period_1981_1990_rank	period_1901_1994_rank	source	status	note
F	Bogumiła	false	Swoboda 2013 comparison	87	67	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Bogusława	false	Swoboda 2013 comparison	95	75	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Bożena	false	Swoboda 2013 comparison	56	29	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Daniela	false	Swoboda 2013 comparison	62	90	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Danuta	false	Swoboda 2013 comparison	58	16	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Grażyna	false	Swoboda 2013 comparison	69	25	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Halina	false	Swoboda 2013 comparison	94	19	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Mariola	false	Swoboda 2013 comparison	49	64	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Mirosława	false	Swoboda 2013 comparison	93	62	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Renata	false	Swoboda 2013 comparison	33	32	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Bogdan	false	Swoboda 2013 comparison	65	49	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Bogumił	false	Swoboda 2013 comparison	84	99	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Bogusław	false	Swoboda 2013 comparison	71	61	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Henryk	false	Swoboda 2013 comparison	82	15	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Janusz	false	Swoboda 2013 comparison	45	27	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Lech	false	Swoboda 2013 comparison	92	80	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Leszek	false	Swoboda 2013 comparison	46	45	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Mieczysław	false	Swoboda 2013 comparison	91	34	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Mirosław	false	Swoboda 2013 comparison	42	29	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Ryszard	false	Swoboda 2013 comparison	59	19	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Marian	false	Swoboda 2013 comparison	80	20	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Tadeusz	false	Swoboda 2013 comparison	64	9	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Waldemar	false	Swoboda 2013 comparison	51	48	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Wiesław	false	Swoboda 2013 comparison	66	32	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Włodzimierz	false	Swoboda 2013 comparison	98	63	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
M	Zdzisław	false	Swoboda 2013 comparison	95	37	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Bernadeta	false	Swoboda 2013 historical comparison	-	98	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
F	Bronisława	false	Swoboda 2013 historical comparison	-	54	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
F	Czesława	false	Swoboda 2013 historical comparison	-	58	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
F	Eugenia	false	Swoboda 2013 historical comparison	-	73	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
F	Genowefa	false	Swoboda 2013 historical comparison	-	37	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
F	Józefa	false	Swoboda 2013 historical comparison	-	39	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
F	Kazimiera	false	Swoboda 2013 historical comparison	-	41	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
M	Czesław	false	Swoboda 2013 historical comparison	-	38	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
M	Bronisław	false	Swoboda 2013 historical comparison	-	60	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
M	Zenon	false	Swoboda 2013 historical comparison	-	62	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
M	Zygmunt	false	Swoboda 2013 historical comparison	-	47	Paweł Swoboda, Onomastica 57 (2013), Table 4	pending-direct-Rymut	Historical candidate; listed among names in the XX-century top-100 absent from 1995–2010 top-100.
F	Gertruda	false	Swoboda 2013 historical comparison	-	79	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Henryka	false	Swoboda 2013 historical comparison	-	59	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
F	Leokadia	false	Swoboda 2013 historical comparison	-	63	Paweł Swoboda, Onomastica 57 (2013), Table 5	pending-direct-Rymut	Historical candidate; direct Rymut entry verification required before any promotion.
